alcohol,volatile acidity,sulphates,density,chlorides
9.2,0.34,0.66,0.9988,0.082
11.0,0.73,0.57,0.9966,0.059
9.2,0.34,0.66,0.9988,0.082
10.0,0.4,0.58,0.9959,0.083
9.5,0.73,0.52,0.9968,0.074
9.5,1.24,0.53,0.998,0.079
9.5,0.73,0.52,0.9968,0.074
9.3,0.4,0.67,0.9984,0.084
10.2,0.41,0.65,0.9984,0.064
9.3,0.4,0.67,0.9984,0.084
9.9,0.8,0.48,0.9979,0.084
10.0,0.78,0.53,0.9983,0.081
9.6,0.26,0.54,0.9972,0.06
9.0,0.43,0.49,1.0004,0.07
10.2,0.45,0.49,0.9962,0.094
9.8,0.46,0.54,0.998,0.078
11.3,0.78,0.56,0.997,0.059
9.4,0.98,0.48,0.998,0.078
11.3,0.78,0.56,0.997,0.059
9.1,0.65,0.6,0.997,0.07
9.7,0.64,0.59,0.9998,0.095
9.4,0.66,0.47,0.9962,0.039
9.4,0.38,1.05,0.9976,0.157
10.7,1.185,0.54,0.9966,0.097
9.8,0.92,0.54,0.9998,0.087
9.0,0.49,1.17,0.9979,0.422
9.4,0.48,0.62,0.9984,0.084
9.4,0.47,0.61,0.9984,0.084
12.8,0.47,0.62,0.9921,0.034
9.5,0.65,0.67,0.9972,0.066
9.5,0.65,0.67,0.9972,0.066
9.7,0.615,0.53,1.0001,0.087
10.8,0.38,0.62,0.9986,0.071
10.1,1.02,0.57,0.9984,0.076
9.5,0.65,0.67,0.9972,0.066
9.4,0.64,0.67,0.997,0.067
9.6,0.38,0.7,0.9972,0.073
9.7,0.765,0.54,0.998,0.078
9.9,1.035,0.49,0.999,0.073
10.0,0.78,0.47,0.9956,0.093
10.5,0.49,0.51,0.9966,0.077
11.6,0.545,0.61,0.996,0.068
10.0,0.31,0.66,0.9983,0.062
10.1,1.025,0.57,0.9985,0.08
9.5,0.565,0.61,0.9998,0.093
9.4,0.69,0.45,0.9992,0.084
9.4,0.43,0.46,0.9976,0.075
9.8,0.74,0.51,0.998,0.078
9.2,0.49,0.48,0.9967,0.069
9.4,0.43,0.46,0.9976,0.075
10.0,0.46,0.57,0.9968,0.079
9.6,0.56,0.44,0.9976,0.082
9.5,0.66,0.54,0.9976,0.086
9.6,0.56,0.44,0.9976,0.082
9.2,0.48,0.53,0.9982,0.094
10.0,0.42,0.59,0.9968,0.084
9.5,0.31,1.62,0.9965,0.053
11.2,1.115,0.6,0.9958,0.086
10.4,0.66,0.55,0.9976,0.077
11.1,0.72,0.72,0.9994,0.084
9.5,0.57,0.68,0.997,0.067
9.5,0.57,0.68,0.997,0.067
12.7,0.865,0.49,0.995,0.071
9.6,0.55,0.67,0.9982,0.387
11.5,0.875,0.52,0.9994,0.088
9.6,0.835,0.47,0.9966,0.092
9.5,0.45,0.6,0.998,0.082
9.3,0.56,0.62,0.9987,0.075
9.5,0.965,0.5,0.9963,0.112
9.5,0.965,0.5,0.9963,0.112
9.3,0.59,0.65,1.0002,0.093
9.2,0.46,0.56,0.9983,0.092
9.3,0.69,0.6,0.999,0.088
11.5,0.76,0.68,0.9965,0.075
9.5,0.53,0.57,0.99788,0.078
9.2,0.615,0.65,0.9972,0.065
10.0,0.41,0.53,1.00024,0.096
9.5,0.39,0.51,1.0001,0.095
9.5,0.51,0.73,0.99768,0.07
9.0,0.34,0.47,0.9978,0.08
9.4,0.33,0.48,0.99782,0.083
9.6,0.5,0.72,0.99761,0.071
9.5,0.51,0.73,0.99768,0.07
9.5,0.65,0.55,0.99803,0.089
9.5,0.65,0.55,0.99803,0.089
9.4,0.54,0.61,0.99785,0.097
9.5,0.65,0.55,0.99803,0.089
9.1,0.48,1.06,0.99656,0.415
10.7,0.91,0.43,0.99525,0.058
11.2,0.98,0.46,0.99488,0.057
9.8,0.87,0.5,0.99656,0.084
9.8,0.87,0.5,0.99656,0.084
9.2,0.42,0.52,0.99823,0.092
9.7,0.58,0.57,0.99779,0.075
9.6,0.655,0.42,0.99738,0.096
10.0,0.7,0.53,0.99701,0.069
9.6,0.655,0.42,0.99738,0.096
9.5,0.68,0.55,0.99888,0.093
9.5,0.67,0.54,0.99888,0.091
9.4,0.59,0.54,0.99738,0.089
9.5,0.6,0.62,0.99938,0.103
9.7,0.59,0.53,0.99744,0.082
9.6,0.72,0.54,0.99668,0.076
9.7,0.59,0.53,0.99744,0.082
9.4,0.685,0.55,0.9978,0.082
9.4,0.57,0.55,0.99782,0.082
9.5,0.4,0.92,0.9973,0.157
9.5,0.4,0.91,0.99727,0.157
10.0,1.0,0.46,0.99586,0.102
10.3,0.765,0.6,0.99612,0.243
10.3,0.635,0.59,0.9961,0.241
10.5,0.43,0.61,0.99788,0.079
9.8,0.52,0.6,0.99745,0.076
9.4,0.57,0.6,0.99676,0.19
9.8,0.46,0.65,0.99732,0.114
10.0,0.82,0.53,0.99814,0.081
9.8,0.46,0.65,0.99732,0.114
9.8,0.59,0.59,0.99746,0.077
9.5,0.35,0.5,0.9982,0.083
9.5,0.35,0.5,0.9982,0.083
10.1,0.56,0.56,0.9991,0.079
10.1,0.56,0.56,0.9991,0.079
9.3,0.63,0.52,0.998,0.099
9.7,0.37,0.68,0.99708,0.082
9.6,0.64,0.54,0.99818,0.084
9.7,0.61,0.6,0.99745,0.081
10.8,0.6,0.56,0.99639,0.055
12.5,0.27,0.53,0.99531,0.065
10.2,0.89,1.18,0.99786,0.132
9.6,0.46,0.74,0.99746,0.126
10.8,0.37,0.81,0.99526,0.038
10.7,0.5,0.52,0.9987,0.082
10.7,0.5,0.52,0.9987,0.082
9.4,0.61,0.51,0.99641,0.082
10.0,0.55,0.44,0.99735,0.068
12.9,0.585,0.94,0.99264,0.044
9.6,0.56,0.66,0.9971,0.114
9.9,0.52,0.57,0.99682,0.084
12.8,0.28,0.7,0.99356,0.052
12.5,0.25,0.71,0.99386,0.041
12.8,0.28,0.7,0.99356,0.052
9.2,0.53,0.86,0.99702,0.165
10.3,0.48,0.55,0.99693,0.07
10.5,0.49,0.47,0.99562,0.068
10.9,0.5,0.68,1.00012,0.072
10.8,0.45,0.71,0.99818,0.099
11.4,0.39,0.58,0.99462,0.102
11.3,0.41,0.76,0.99939,0.103
10.8,0.45,0.71,0.99818,0.099
10.5,0.51,0.58,0.9984,0.081
11.9,0.29,0.73,0.99545,0.084
9.4,0.715,0.45,0.99632,0.071
9.6,0.66,0.54,0.99976,0.097
9.7,0.685,0.6,0.99606,0.099
14.0,0.42,0.74,0.99154,0.048
9.8,0.54,0.64,0.9973,0.076
9.8,0.54,0.64,0.9973,0.076
10.3,0.48,0.53,0.99682,0.068
10.7,0.46,0.49,0.99624,0.076
11.0,0.27,0.64,0.9951,0.05
10.7,0.46,0.49,0.99624,0.076
12.7,0.57,0.74,0.99417,0.065
11.1,0.61,0.77,0.99376,0.071
10.9,0.685,0.55,0.99632,0.058
11.1,0.61,0.77,0.99376,0.071
9.9,0.44,0.86,0.99832,0.145
9.9,0.47,0.86,0.99836,0.147
9.4,0.685,0.47,0.99694,0.088
9.3,0.665,0.51,0.99655,0.066
11.7,0.28,0.39,0.99064,0.012
11.7,0.28,0.39,0.99064,0.012
11.2,0.31,0.83,0.99672,0.075
10.0,0.5,0.47,0.99647,0.092
12.1,0.42,0.77,0.99736,0.085
10.3,0.66,0.63,0.99629,0.115
10.9,0.5,0.72,0.99708,0.119
9.4,0.685,0.62,0.9963,0.088
10.6,0.25,0.83,0.9959,0.062
9.8,0.64,0.66,0.99689,0.081
9.8,0.64,0.66,0.99689,0.081
9.9,0.68,0.7,0.9977,0.078
9.8,0.64,0.66,0.99689,0.081
9.8,0.63,0.66,0.99689,0.08
9.5,0.43,0.55,0.99708,0.085
9.5,0.43,0.55,0.99708,0.085
9.7,0.42,1.07,0.99801,0.08
10.9,0.36,0.73,0.99652,0.08
10.9,0.36,0.73,0.99652,0.08
11.7,0.735,0.71,0.99538,0.071
10.9,0.36,0.73,0.99652,0.08
11.3,0.26,0.78,0.99594,0.073
10.6,0.28,0.67,0.99686,0.054
11.2,0.56,0.82,0.99438,0.074
9.5,0.62,0.54,0.99746,0.077
11.5,1.01,0.6,0.99357,0.039
10.4,0.42,0.44,0.99628,0.067
9.7,0.62,0.53,0.99746,0.078
9.5,0.62,0.54,0.99746,0.077
9.7,0.635,0.54,0.99748,0.077
11.3,0.49,0.83,0.99438,0.071
11.2,0.51,0.84,0.99438,0.072
11.2,0.56,0.82,0.99438,0.074
10.9,0.63,0.64,0.99578,0.08
11.8,0.715,0.57,0.99371,0.064
10.6,0.56,0.57,0.99522,0.086
10.0,0.35,0.54,0.99576,0.067
11.1,0.21,0.58,0.99552,0.067
11.8,0.38,0.65,0.99664,0.104
11.8,0.31,0.79,0.99614,0.109
10.9,0.47,0.58,0.99517,0.067
11.8,0.715,0.57,0.99371,0.064
10.0,0.61,0.5,0.99787,0.094
9.5,0.6,0.55,0.99745,0.076
9.9,0.56,0.49,0.99576,0.078
11.4,0.715,0.65,0.99533,0.068
12.0,0.31,0.78,0.99536,0.194
9.5,0.6,0.55,0.99745,0.076
10.0,0.61,0.5,0.99787,0.094
10.5,0.75,0.64,0.99824,0.086
10.4,0.8,0.65,0.99836,0.083
12.1,0.52,0.79,0.99577,0.066
11.2,0.57,0.56,0.99491,0.072
9.3,0.9,0.68,1.00289,0.112
10.1,0.34,0.58,0.99576,0.071
9.7,0.66,0.57,0.99743,0.078
9.3,0.45,0.65,0.99774,0.082
9.7,0.66,0.57,0.99743,0.078
9.8,0.63,0.58,0.99745,0.08
10.7,0.59,0.58,0.9955,0.08
12.5,0.31,0.77,0.99444,0.078
10.7,0.59,0.58,0.9955,0.08
12.5,0.31,0.77,0.99444,0.078
11.0,1.02,0.49,0.99892,0.084
11.8,0.31,0.69,0.99562,0.056
10.8,0.635,0.69,0.99736,0.08
10.8,0.635,0.69,0.99736,0.08
10.8,0.59,0.59,0.9962,0.06
10.8,0.59,0.59,0.9962,0.06
9.5,0.58,0.59,0.998,0.081
11.0,0.54,0.71,0.9964,0.084
11.5,0.56,0.54,0.9948,0.079
10.8,0.52,0.59,0.99528,0.078
11.5,0.305,0.52,0.99331,0.059
13.2,0.38,0.57,0.99577,0.132
10.9,0.28,0.6,0.99901,0.114
12.2,0.46,0.62,0.99674,0.065
12.2,0.395,0.64,0.99639,0.094
11.5,0.305,0.52,0.99331,0.059
11.9,0.315,0.67,0.99512,0.079
11.0,0.715,0.61,0.99395,0.161
10.1,0.41,0.64,0.99824,0.084
11.0,0.36,0.72,0.9964,0.081
11.8,0.62,0.89,0.99504,0.072
10.5,0.41,0.56,0.99786,0.091
11.0,0.36,0.72,0.9964,0.081
11.8,0.62,0.89,0.99504,0.072
10.1,0.41,0.64,0.99824,0.084
11.2,0.47,0.8,0.99516,0.055
11.0,0.22,0.87,0.99604,0.064
10.2,0.24,0.9,0.99786,0.061
9.2,0.67,0.59,0.99736,0.093
11.2,0.47,0.8,0.99516,0.055
12.0,0.33,0.73,0.99468,0.063
10.5,0.61,0.73,0.99746,0.08
9.8,0.61,0.65,0.99748,0.074
9.5,0.4,0.59,0.9971,0.078
9.8,0.61,0.65,0.99748,0.074
10.5,0.61,0.73,0.99746,0.08
11.8,0.3,0.72,0.99543,0.06
11.8,0.3,0.72,0.99543,0.06
10.4,0.63,0.6,0.99791,0.071
12.9,0.38,0.72,0.99356,0.068
11.4,0.46,0.54,0.99425,0.073
12.4,0.33,0.76,0.99509,0.074
12.5,0.27,0.52,0.99484,0.082
10.0,0.43,0.64,0.99834,0.092
9.7,0.5,0.6,0.99864,0.094
12.1,0.3,0.64,0.99498,0.09
11.1,0.44,0.79,0.99566,0.071
12.0,0.44,0.99,0.99745,0.092
12.4,0.28,0.62,0.99408,0.093
11.9,0.12,0.76,0.99552,0.075
11.9,0.12,0.76,0.99552,0.075
11.9,0.12,0.76,0.99552,0.075
12.4,0.28,0.62,0.99408,0.093
11.2,0.31,0.68,0.99536,0.058
12.1,0.34,0.69,0.99458,0.052
12.2,0.43,0.54,0.99538,0.082
10.4,0.21,0.67,0.99648,0.09
11.3,0.36,0.62,0.99568,0.111
11.1,0.37,0.58,0.99613,0.088
11.3,0.57,0.71,0.99519,0.12
10.0,0.59,0.61,0.99735,0.089
11.1,0.47,0.85,0.99518,0.058
9.3,0.56,0.62,0.99592,0.078
9.5,0.57,0.69,0.99654,0.115
11.2,0.27,0.69,0.99546,0.1
11.1,0.47,0.85,0.99518,0.058
11.0,0.34,0.86,0.99554,0.065
11.9,0.38,0.58,0.99604,0.103
9.2,0.66,0.48,0.99733,0.097
12.2,0.4,0.6,0.9943,0.068
10.2,0.56,0.61,0.99669,0.079
10.9,0.26,0.87,0.99724,0.066
10.9,0.26,0.87,0.99724,0.066
11.6,0.38,0.65,0.99643,0.104
10.7,0.34,0.63,0.99605,0.079
12.1,0.33,0.62,0.99658,0.073
9.4,0.41,0.52,0.997,0.083
9.4,0.41,0.52,0.997,0.083
9.1,0.59,0.5,0.99801,0.109
11.3,0.4,0.49,0.99416,0.061
10.4,0.45,0.63,0.9969,0.075
10.5,0.5,0.71,0.99774,0.065
10.0,0.86,0.62,0.99712,0.079
12.9,0.52,0.82,0.99418,0.07
10.5,0.5,0.71,0.99774,0.065
10.4,0.45,0.63,0.9969,0.075
11.3,0.58,0.58,0.99562,0.064
11.4,0.34,0.55,0.9947,0.066
9.4,0.36,0.5,0.99693,0.08
9.4,0.39,0.49,0.99596,0.097
10.9,0.295,0.51,0.99556,0.073
9.4,0.39,0.49,0.99596,0.097
9.4,0.34,0.48,0.99694,0.082
9.4,0.4,0.48,0.99554,0.076
9.4,0.34,0.48,0.99694,0.082
9.4,0.35,0.43,0.99918,0.092
10.1,0.6,0.62,0.99697,0.079
12.8,0.66,0.63,0.99378,0.087
12.8,0.66,0.63,0.99378,0.087
9.1,0.84,0.48,0.99554,0.05
12.9,0.69,0.53,0.99162,0.055
11.5,0.43,0.72,0.99495,0.062
10.6,0.35,0.82,0.99676,0.058
11.7,0.29,0.84,0.99516,0.063
12.8,0.36,0.55,0.9928,0.067
10.3,0.43,0.54,0.99603,0.081
12.8,0.36,0.55,0.9928,0.067
11.7,0.29,0.84,0.99516,0.063
11.7,0.3,0.84,0.99516,0.064
12.0,0.35,0.7,0.99549,0.11
10.9,0.5,0.68,0.99722,0.116
12.3,0.28,0.55,0.99354,0.067
10.4,0.32,0.55,0.9957,0.088
10.0,1.005,0.48,0.99604,0.102
10.0,0.71,0.58,0.99635,0.092
11.2,0.58,0.58,0.99454,0.12
11.4,0.39,0.84,0.99598,0.075
12.6,0.38,0.75,0.99486,0.068
12.7,0.18,0.44,0.99007,0.049
12.7,0.18,0.44,0.99007,0.049
10.4,0.5,0.61,0.99636,0.078
11.9,0.36,0.53,0.99642,0.123
11.9,0.36,0.53,0.99642,0.123
10.5,0.51,0.54,0.99584,0.062
12.3,0.32,0.55,0.99506,0.098
10.5,0.58,0.56,0.99568,0.088
10.4,0.83,0.6,0.99822,0.095
12.6,0.31,0.56,0.99364,0.066
11.6,0.795,0.52,0.99378,0.065
10.1,0.34,0.54,0.99586,0.075
10.5,0.58,0.56,0.99568,0.088
11.5,0.59,0.55,0.99488,0.091
11.0,0.55,0.58,0.99514,0.093
9.6,0.82,0.53,0.99854,0.095
10.4,0.57,0.59,0.99592,0.089
9.7,0.745,0.47,0.99739,0.077
10.6,0.37,0.65,0.99683,0.085
12.5,0.31,0.59,0.99356,0.082
9.2,0.91,0.56,0.99672,0.074
12.6,0.41,0.77,0.9953,0.078
11.1,0.5,0.83,0.99692,0.088
10.2,0.965,0.67,0.99756,0.088
9.8,0.49,0.64,0.99547,0.079
11.1,0.5,0.83,0.99692,0.088
10.9,0.39,0.81,0.99859,0.069
12.2,0.39,0.62,0.99294,0.046
11.4,0.44,0.58,0.99438,0.07
10.7,0.78,0.62,0.99612,0.076
10.4,0.43,0.64,0.99634,0.082
10.9,0.49,0.78,0.99702,0.081
10.8,0.5,0.77,0.99704,0.084
10.4,0.43,0.64,0.99634,0.082
9.2,0.46,1.34,0.99702,0.414
12.9,0.605,0.55,0.99258,0.073
12.7,0.33,0.77,0.99426,0.07
9.1,0.64,0.62,0.99747,0.095
9.1,0.64,0.62,0.99747,0.095
12.1,0.48,0.59,0.99586,0.101
9.1,0.42,0.57,0.99784,0.104
11.6,0.53,0.76,0.9971,0.093
12.1,0.48,0.59,0.99586,0.101
9.9,0.23,0.7,0.9981,0.074
12.5,0.4,0.69,0.99462,0.071
11.4,0.38,0.64,0.9956,0.098
11.8,0.29,0.63,0.99565,0.075
11.8,0.74,0.57,0.99418,0.067
10.2,0.61,0.6,0.9963,0.083
12.5,0.52,0.72,0.99358,0.07
10.9,0.31,0.83,0.99572,0.06
10.9,0.31,0.83,0.99572,0.06
10.8,0.62,0.62,0.997,0.086
11.1,0.33,0.89,0.99498,0.057
9.2,0.77,0.58,0.99892,0.098
9.5,0.35,0.58,0.9968,0.083
10.7,0.62,0.58,0.9972,0.088
9.2,0.77,0.58,0.99892,0.098
10.2,0.25,0.86,0.99769,0.071
11.4,0.32,0.73,0.99534,0.073
11.0,0.37,0.58,0.99817,0.08
11.0,0.37,0.58,0.99817,0.08
12.3,0.3,0.51,0.99316,0.05
11.8,0.27,0.51,0.99471,0.047
12.3,0.3,0.51,0.99316,0.05
9.5,0.38,0.59,0.99685,0.073
12.0,0.42,0.77,0.99617,0.072
9.5,0.38,0.59,0.99685,0.073
9.6,0.48,0.49,0.99529,0.074
11.6,0.34,0.66,0.99738,0.055
11.2,0.19,0.69,0.994,0.057
9.9,0.41,0.76,0.99735,0.095
9.9,0.41,0.76,0.99735,0.095
11.8,0.26,0.63,0.99451,0.083
11.4,0.34,0.6,0.99546,0.086
11.5,0.54,0.59,0.99479,0.081
12.0,0.31,0.86,0.99615,0.079
10.8,0.725,0.49,0.99655,0.117
10.5,0.4,0.5,0.99772,0.087
10.8,0.725,0.49,0.99655,0.117
9.4,0.52,0.52,0.99666,0.096
12.5,0.31,0.81,0.99358,0.216
9.4,0.52,0.52,0.99666,0.096
12.4,0.34,0.78,0.99392,0.072
12.0,0.49,0.63,0.99388,0.071
11.2,0.48,0.54,0.99402,0.078
12.0,0.49,0.63,0.99388,0.071
12.4,0.48,0.66,0.9936,0.073
12.8,0.57,0.6,0.99374,0.048
12.3,0.23,0.54,0.99376,0.069
11.7,0.3,0.85,0.99523,0.068
9.5,0.78,0.49,0.99855,0.09
10.8,0.47,0.76,0.9982,0.171
10.0,0.53,0.64,0.99593,0.07
12.3,0.42,0.64,0.99471,0.092
11.0,0.33,0.71,0.99396,0.056
9.5,0.24,0.59,0.99698,0.074
13.6,0.4,0.66,0.9902,0.046
11.3,0.69,0.6,0.99572,0.091
11.3,0.69,0.6,0.99572,0.091
11.3,0.69,0.6,0.99572,0.091
13.3,0.39,0.53,0.99252,0.065
12.9,0.66,0.58,0.99256,0.066
13.1,0.54,0.72,0.99235,0.076
12.3,0.5,0.55,0.99352,0.062
12.3,0.47,0.48,0.9922,0.055
11.2,0.4,0.65,0.99674,0.081
11.5,0.58,0.62,0.99557,0.096
11.3,0.24,0.59,0.99394,0.055
13.5,0.29,0.54,0.9915,0.063
11.5,0.76,0.6,0.99379,0.072
10.0,0.43,0.68,0.9984,0.095
10.5,0.43,0.69,0.99798,0.092
10.4,0.6,0.63,0.9977,0.058
9.5,0.19,0.44,0.99341,0.045
13.6,0.36,0.88,0.9933,0.075
11.2,0.48,0.68,0.99684,0.089
11.8,0.28,0.74,0.99524,0.061
11.9,0.25,0.6,0.9946,0.067
11.4,0.52,0.76,0.99774,0.08
11.4,0.52,0.76,0.99774,0.08
9.1,0.41,0.58,0.99786,0.104
9.5,0.51,0.64,0.99764,0.079
9.5,0.4,0.65,0.9969,0.08
11.0,0.38,0.85,0.99624,0.08
11.4,0.45,0.65,0.99354,0.043
10.0,0.22,0.82,0.99672,0.065
10.1,0.32,0.62,0.99588,0.066
10.4,0.2,0.81,0.99672,0.076
9.8,0.5,0.87,0.996,0.178
11.8,0.41,0.49,0.99702,0.071
11.6,0.39,0.66,0.99526,0.086
12.0,0.35,0.52,0.99585,0.061
12.8,0.33,0.76,0.99473,0.067
12.5,0.58,0.65,0.99352,0.044
9.8,0.6,0.53,0.99616,0.118
11.1,0.42,0.66,0.99622,0.083
11.4,0.58,0.68,0.99544,0.1
9.8,0.6,0.53,0.99616,0.118
11.8,0.18,0.76,0.99524,0.071
12.9,0.51,0.87,0.9924,0.042
10.6,0.41,1.16,0.99572,0.076
10.8,0.41,0.67,0.99728,0.11
11.1,0.36,0.72,0.99676,0.087
10.2,0.45,0.75,0.99551,0.076
11.8,0.32,0.71,0.99434,0.075
10.0,0.785,0.67,0.99692,0.078
10.0,0.785,0.67,0.99692,0.078
9.4,0.44,1.1,0.99634,0.369
10.2,0.54,0.98,0.99709,0.111
12.4,0.33,0.88,0.99528,0.074
12.0,0.34,0.56,0.99384,0.067
11.5,0.5,0.62,0.99502,0.086
10.5,0.36,0.67,0.99667,0.062
10.8,0.59,0.68,0.99522,0.078
12.3,0.42,0.74,0.99649,0.074
9.5,0.36,0.62,0.99716,0.079
9.5,0.36,0.62,0.99716,0.079
11.5,0.61,0.7,0.99541,0.095
11.2,0.88,0.5,0.99572,0.079
12.7,0.66,0.66,0.99318,0.052
11.4,0.915,0.73,0.99346,0.041
11.0,0.35,0.81,0.99599,0.076
11.0,0.35,0.81,0.99599,0.076
11.4,0.39,0.46,0.99478,0.068
10.5,0.4,0.86,0.99754,0.068
9.3,0.66,0.6,0.99572,0.07
10.9,0.64,0.7,0.99538,0.08
11.9,0.43,0.46,0.99346,0.085
12.2,0.8,0.5,0.9963,0.079
11.9,0.43,0.46,0.99346,0.085
10.9,0.64,0.7,0.99538,0.08
9.6,0.955,0.44,0.99616,0.075
12.5,0.4,0.57,0.99652,0.08
10.8,0.885,0.51,0.99551,0.166
12.4,0.25,0.8,0.99439,0.063
10.8,0.885,0.51,0.99551,0.166
9.5,0.745,0.59,0.99588,0.114
9.5,0.43,0.6,0.99633,0.078
9.5,0.58,0.58,0.99686,0.076
9.8,0.57,0.54,0.99458,0.069
10.9,0.26,0.79,0.9951,0.052
9.5,0.58,0.58,0.99686,0.076
9.8,0.57,0.54,0.99458,0.069
11.2,0.34,0.54,0.99419,0.065
11.7,0.42,0.69,0.99516,0.068
9.4,0.74,0.55,0.99878,0.111
11.0,0.36,0.85,0.99534,0.074
11.0,0.36,0.85,0.99534,0.074
11.0,0.36,0.85,0.99534,0.074
10.0,0.72,0.94,0.99752,0.136
11.0,0.36,0.85,0.99534,0.074
11.2,0.39,0.87,0.99428,0.071
10.4,0.65,0.62,0.99498,0.078
9.3,0.44,0.62,0.9957,0.076
10.4,0.65,0.62,0.99498,0.078
10.5,0.38,0.75,0.99659,0.071
10.4,0.33,0.48,0.99628,0.081
11.3,0.27,0.56,0.99488,0.095
9.5,0.57,0.69,0.99677,0.079
12.0,0.34,0.81,0.99408,0.057
10.6,0.4,0.69,0.996,0.082
10.9,0.39,0.83,0.99478,0.044
11.5,0.32,0.77,0.99734,0.132
11.5,0.32,0.77,0.99734,0.132
9.6,0.53,0.46,0.99678,0.078
12.0,0.36,0.76,0.99638,0.074
10.3,0.39,0.82,0.9992,0.08
9.4,0.46,0.51,0.99922,0.091
9.2,0.58,0.47,0.99592,0.08
9.6,0.58,0.72,0.99769,0.104
13.6,0.42,0.73,0.99157,0.044
9.5,0.43,0.64,0.99718,0.075
11.8,0.18,0.78,0.9947,0.066
10.8,0.815,0.62,0.99621,0.074
9.5,0.43,0.64,0.99718,0.075
9.3,0.23,0.49,0.99614,0.057
12.8,0.75,0.4,0.99242,0.059
11.5,0.33,0.56,0.99572,0.054
9.4,0.55,0.64,0.99659,0.07
12.8,0.75,0.4,0.99242,0.059
9.6,0.73,0.46,0.99798,0.081
11.8,0.67,0.56,0.99488,0.057
9.3,0.61,0.4,0.99494,0.076
9.8,0.37,0.59,0.99729,0.079
12.2,0.4,0.6,0.99414,0.058
9.5,0.56,0.62,0.9983,0.082
10.3,0.29,0.54,0.99721,0.067
10.5,0.55,0.68,0.99655,0.082
10.0,0.74,0.48,0.99502,0.086
10.5,0.55,0.68,0.99655,0.082
11.1,0.41,0.75,0.9949,0.081
10.9,0.6,0.61,0.99514,0.079
10.9,0.6,0.61,0.99514,0.079
9.8,0.58,0.59,0.9963,0.077
9.8,0.72,0.58,0.99627,0.123
9.5,0.66,0.58,0.99569,0.096
10.9,0.7,0.69,0.99628,0.079
11.0,0.64,0.45,0.99358,0.069
9.2,0.59,0.42,0.99499,0.082
11.0,0.58,0.7,0.99633,0.085
11.3,0.64,0.63,0.99538,0.123
11.3,0.64,0.63,0.99538,0.123
9.3,0.635,1.15,0.99632,0.403
11.2,1.02,0.55,0.99437,0.083
9.8,0.45,0.58,0.99726,0.081
9.6,0.78,0.46,0.9978,0.089
11.8,0.37,0.72,0.99456,0.066
10.3,0.57,0.6,0.99564,0.081
10.3,0.57,0.6,0.99564,0.081
11.4,0.43,0.87,0.996,0.068
9.5,0.41,0.55,0.99668,0.079
14.0,0.49,0.82,0.9908,0.044
14.0,0.38,0.75,0.99084,0.048
11.7,0.44,0.57,0.9935,0.049
11.2,0.46,0.53,0.99385,0.077
9.3,0.58,0.43,0.99494,0.073
11.2,0.58,0.53,0.9944,0.102
9.5,0.715,0.54,0.99688,0.075
12.0,0.4,0.56,0.99566,0.05
9.7,0.69,0.6,0.99636,0.114
9.5,0.715,0.54,0.99688,0.075
11.5,0.3,0.57,0.9948,0.062
10.4,0.46,0.64,0.9956,0.077
10.4,0.46,0.64,0.9956,0.077
10.9,0.765,0.68,0.99619,0.084
10.2,0.63,0.63,0.99734,0.096
10.9,0.42,0.56,0.99476,0.071
10.5,0.37,0.57,0.99734,0.09
12.4,0.16,0.54,0.99328,0.068
13.0,0.6,0.37,0.99286,0.056
10.2,0.6,1.17,0.99914,0.068
10.2,0.6,1.17,0.99914,0.068
11.0,0.74,0.59,0.99521,0.1
10.9,0.635,0.75,0.99638,0.073
12.4,0.395,0.67,0.99362,0.056
9.7,0.755,0.49,0.99672,0.084
10.9,0.635,0.75,0.99638,0.073
9.5,0.63,0.45,0.99558,0.093
9.5,0.63,0.45,0.99558,0.093
12.1,0.53,0.61,0.99323,0.064
12.2,0.6,0.56,0.99191,0.063
10.9,1.58,0.4,0.99476,0.137
12.5,0.645,0.61,0.99444,0.08
11.7,0.86,0.74,0.99598,0.1
11.2,0.37,0.8,0.99576,0.064
11.2,0.28,0.66,0.99501,0.081
9.2,0.79,0.44,0.9955,0.087
9.8,0.61,0.53,0.99612,0.073
10.1,0.69,0.62,0.9979,0.088
11.1,0.68,0.52,0.99524,0.068
10.1,0.69,0.62,0.9979,0.088
9.2,0.62,0.61,0.996,0.071
9.8,0.61,0.53,0.99612,0.073
12.8,0.51,0.59,0.9929,0.064
10.5,1.18,0.47,0.99532,0.083
10.1,0.36,0.54,0.99558,0.086
10.1,0.36,0.53,0.99556,0.086
9.8,0.63,0.58,0.99616,0.083
12.5,0.74,0.59,0.99258,0.041
11.9,0.44,0.69,0.99638,0.091
9.8,0.63,0.58,0.99616,0.083
9.1,0.76,1.33,0.99652,0.414
10.1,0.66,0.66,0.99796,0.094
12.5,0.74,0.59,0.99258,0.041
11.4,0.34,0.55,0.99392,0.058
11.0,0.36,0.82,0.99495,0.06
10.6,0.46,0.6,0.9948,0.077
10.6,0.46,0.6,0.9948,0.077
10.6,0.46,0.6,0.9948,0.077
10.6,0.46,0.6,0.9948,0.077
9.3,0.52,0.52,0.9955,0.073
9.8,0.6,0.56,0.99616,0.083
9.8,0.6,0.56,0.99616,0.083
9.2,0.87,0.46,0.99668,0.107
9.7,0.39,0.43,0.99581,0.075
